Домен,Статус,Рішення ПлейСіті,Рішення НКЕК,Останнє оновлення
00003421.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
0xnull.io,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
10betitall1.com,Заблокований,від 03.04.2026 №99-Р,повідомлення на вебсайті НКЕК від 07.04.2026,2026-04-16
10bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
10royspins1.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
11-3va-gamz.com,Заблокований,Від 22.04.2026 №143-Р,24.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-07
11basswin.com,Заблокований,від 10.04.2026 №120-Р,повідомлення на офіційному вебсайті НКЕК від 14.04.2026,2026-04-16
11bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
12bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
12vulkanvegas527.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
13bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
14bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
14eva-fortunewave.com,Заблокований,від 29.04.2026 №161-Р,30.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-07
15bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
16bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
17bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
17-eva-luck-fun.com,Заблокований,від 12.05.2026 №182-Р,"13.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
17jokerland.com,Заблокований,від 11.09.2025 №83-Р,від 17.09.2025 №555,2025-11-05
18bitstarz.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
18casino.net.ua,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
19lucky-in-b4nd4.com,Заблокований,Від 22.04.2026 №143-Р,24.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-07
1bet.com,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
1bitstarz.com,Заблокований,від 09.07.2025 №29-Р,від 16.07.2025 №440,2025-11-05
1-buddy-bet.vn.ua,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1f0s0.ink,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1f0s0.vip,Заблокований,від 05.03.2026 №53-Р,від 11.03.2026 №124,2026-03-16
1go.casino,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1gocasino1000.com,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1gocasino1001.com,Заблокований,від 11.09.2025 №83-Р,від 17.09.2025 №555,2025-11-05
1gocasino113.com,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1gocasino123.com,Заблокований,від 04.05.2026 №167-Р,06.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-08
1gocasino2102.com,Заблокований,від 03.04.2026 №99-Р,повідомлення на вебсайті НКЕК від 07.04.2026,2026-04-16
1gocasino2114.com,Заблокований,від 10.04.2026 №120-Р,повідомлення на офіційному вебсайті НКЕК від 14.04.2026,2026-04-16
1gocasino2119.com,Заблокований,від 16.04.2026 №132-Р,17.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-04-28
1gocasino2122.com,Заблокований,від 06.05.2026 № 173-Р,08.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-12
1gocasino411.com,Заблокований,від 08.05.2026 №177-Р,"12.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
1gocasino613.com,Заблокований,від 08.05.2026 №177-Р,"12.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
1gocasino62.com,Заблокований,від 19.02.2026 №40-Р,від 25.02.2026 №99,2026-03-06
1gocasino789.com,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1gocasino814.com,Заблокований,від 04.05.2026 №167-Р,06.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-08
1gocasino82.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1gocasino84.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1gocasino908.com,Заблокований,від 04.05.2026 №167-Р,06.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-08
1gocasino.com,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1gocasinovip102.com,Заблокований,від 12.05.2026 №182-Р,"13.05.2026 на офіційному
вебсайті НКЕК розміщено повідомлення",2026-05-19
1gocasinovip103.com,Заблокований,від 29.04.2026 №161-Р,30.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-07
1gocasinovip31.com,Заблокований,від 11.09.2025 №83-Р,від 17.09.2025 №555,2025-11-05
1gocasinovip43.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1gocasinovip47.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1gocasinovip48.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1gocasinovip51.com,Заблокований,від 02.07.2025 №27-Р,від 09.07.2025 №430,2025-11-05
1gocasinovip55.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1gocasinovip58.com,Заблокований,від 16.06.2025 №19-Р,від 25.06.2025 №411,2025-11-05
1gocasinovip59.com,Заблокований,від 06.08.2025 №62-Р,від 20.08.2025 №504,2025-11-05
1gocasinovip60.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
1gocasinovip61.com,Заблокований,від 27.08.2025 №74-Р,від 03.09.2025 №533,2026-03-18
1gocasinovip62.com,Заблокований,від 29.04.2026 №161-Р,30.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-07
1gocasinovip63.com,Заблокований,від 11.09.2025 №83-Р,від 17.09.2025 №555,2025-11-05
1gocasinovip64.com,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
1gocasinovip66.com,Заблокований,від 08.10.2025 №105-Р,від 15.10.2025 №600,2025-11-05
1gocasinovip67.com,Заблокований,від 23.10.2025 №131-Р,від 30.10.2025 №632,2025-11-05
1gocasinovip68.com,Заблокований,від 05.11.2025 №148-Р,від 12.11.2025 №651,2025-11-18
1gocasinovip71.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1gocasinovip74.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1gocasinovip75.com,Заблокований,від 04.12.2025 №178-Р,від 17.12.2025 №713,2025-12-24
1gocasinovip76.com,Заблокований,від 29.04.2026 №161-Р,30.04.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-07
1gocasinovip78.com,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1gocasinovip80.com,Заблокований,від 16.01.2026 №13-Р,від 28.01.2026 №35,2026-02-02
1gocasinovip82.com,Заблокований,від 04.02.2026 №28-Р,від 11.02.2026 №70,2026-02-16
1gocasinovip83.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1gocasinovip84.com,Заблокований,від 19.02.2026 №40-Р,від 25.02.2026 №99,2026-03-06
1gocasinovip87.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1gocasinovip88.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1gocasinovip89.com,Заблокований,від 18.03.2026 №69-Р,від 24.03.2026 №150,2026-04-16
1gocasinovip94.com,Заблокований,від 10.04.2026 №120-Р,повідомлення на офіційному вебсайті НКЕК від 14.04.2026,2026-04-16
1gocasinovip97.com,Заблокований,від 10.04.2026 №120-Р,повідомлення на офіційному вебсайті НКЕК від 14.04.2026,2026-04-16
1goldenreels.com,Заблокований,від 06.08.2025 №62-Р,від 20.08.2025 №504,2025-11-05
1johnny24.com,Заблокований,від 22.08.2025 №71-Р,від 27.08.2025 №523,2025-11-05
1-king-372.online,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
1nationalcasino.com,Заблокований,від 19.02.2026 №40-Р,від 25.02.2026 №99,2026-03-06
1parik-24.com.ua,Заблокований,від 25.12.2025 №199-Р,від 07.01.2026 №5,2026-01-13
1parik24.net,Заблокований,від 06.05.2026 № 173-Р,08.05.2026 на офіційному вебсайті НКЕК розміщено повідомлення,2026-05-12
1slotik.com,Заблокований,від 09.07.2025 №29-Р,від 16.07.2025 №440,2025-11-05
1topmatch.bet,Заблокований,від 21.11.2025 №167-Р,від 10.12.2025 №695,2025-12-17
1topmatch.com,Заблокований,від 02.07.2025 №27-Р,від 09.07.2025 №430,2025-11-05
1-topmatch.co.ua,Заблокований,від 03.04.2026 №99-Р,повідомлення на вебсайті НКЕК від 07.04.2026,2026-04-16
